sector_clean,deal_year,total_funding_usd,prev_year_funding,yoy_growth_pct
"Virtual Reality, 3D Simulation And Stereoscopic Products",2015,800000.0,,
Visual Blogging Platform,2015,600000.0,,
Visual Search And Discovery Platform,2015,1000000.0,,
Voice Call Incentivization Mobile App,2015,1500000.0,,
Warranty Programs Service Administration,,20600000.0,,
Waste Management Service,2019,26868600.0,,
Waste Management Solutions,2015,160000.0,,
Wealth Management Platform,2015,1500000.0,,
Web Content Publishing,2015,200000.0,,
Wedding Planning Platform,2015,410000.0,,
Wedding Venues & Vendors Marketplace,2015,1000000.0,,
Weight Management Service,2015,1500000.0,,
Wifi First Cloud Communication Platform,2015,1500000.0,,
Women Ethnic Wear Online Marketplace,2015,34000000.0,,
Women Lifestyle Marketplace,2015,1500000.0,,
